date,mae_import,mae_export
2025-01-06 00:00:00+00:00,651.4553979999998,792.9495728
2025-01-07 00:00:00+00:00,876.912725826087,729.1577071415652
2025-01-08 00:00:00+00:00,1126.7289146521741,654.8020073530435
2025-01-09 00:00:00+00:00,925.2032475277779,563.3663222811666
2025-01-10 00:00:00+00:00,1065.9837044202898,520.6405820449565
2025-01-11 00:00:00+00:00,1224.181992722222,642.3745549757833
2025-01-12 00:00:00+00:00,799.0687400434783,546.4579844382608
2025-01-13 00:00:00+00:00,910.1110873333333,745.22902449
2025-01-14 00:00:00+00:00,859.4834548405797,711.0111524452174
2025-01-15 00:00:00+00:00,915.4050360289855,442.1593094657913
2025-01-16 00:00:00+00:00,1279.520188231884,647.3901432782609
2025-01-17 00:00:00+00:00,1065.5100363043478,676.3276867386955
2025-01-18 00:00:00+00:00,1133.8497069130435,571.2669714239131
2025-01-23 00:00:00+00:00,758.2813571304349,865.9473642530435
2025-01-24 00:00:00+00:00,647.918605942029,963.5922318532174
2025-01-28 00:00:00+00:00,438.2463175886957,905.9200228526956
2025-01-29 00:00:00+00:00,621.9698497826087,957.8531752086957
2025-01-30 00:00:00+00:00,685.5544411086956,820.0052295210435
2025-01-31 00:00:00+00:00,661.8912263043478,805.4984069674783
2025-02-01 00:00:00+00:00,672.3546040652175,499.0710742382608
2025-02-04 00:00:00+00:00,897.639524826087,842.7453567885218
2025-02-13 00:00:00+00:00,894.5095111971016,813.6032895860869
2025-02-14 00:00:00+00:00,1008.0199112057971,629.8312247634782
2025-02-15 00:00:00+00:00,821.6493939130436,381.5433240356522
2025-02-16 00:00:00+00:00,958.546900209565,532.7343056163478
2025-02-17 00:00:00+00:00,1219.7488278426088,720.7334609565218
2025-02-22 00:00:00+00:00,664.5384068043477,735.6541010139131
2025-02-23 00:00:00+00:00,813.422183610261,814.2724778979131
2025-02-26 00:00:00+00:00,1136.0928979565217,684.0847088343479
2025-03-04 00:00:00+00:00,750.2958312869565,731.65261476
